,moviename,director,leadactors,screenwriter,picture,averating,numrating,description,typelist,backpost,movieId,title,genres,showyear,ratings_count,backpost-origin
227,Platoon,Oliver Stone,"Tom Berenger,Keith David,Willem Dafoe,Forest Whitaker,Francesco Quinn,Kevin Dillon,John C. McGinley,Reggie Johnson,Mark Moses,Corey Glover,Johnny Depp,Chris Pedersen,Bob Orwig,Corkey Ford,David Neidorf,Charlie Sheen,Richard Edson,Tony Todd,Kevin Eshelman,James Terry McIlvain,J. Adam Glover,Ivan Kane,Paul Sanchez,Dale Dye,Peter Hicks,Basile Achara,Steve Barredo,Chris Castillejo,Andrew B. Clark,Bernardo Manalili,Than Rogers,Li Thi Van,Clarisa Ortacio,Romy Sevilla,Matthew Westfall,Nick Nicholson,Warren McLean,Li Mai Thao,Ron Barracks,H. Gordon Boos,Robert 'Rock' Galotti,Oliver Stone,Brad Cassini,Mark Ebenhoch",,http://image.tmdb.org/t/p/w185/sYPOQI57JVNmjiLI3KeZ5KA8O9i.jpg,3.9,18586.0,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.","Drama,War,Action",http://106.12.12.171/ufqPsRItWyFzdFz3MevDkxRF8pT.jpg,1090,Platoon (1986),Drama|War,1986-12-18,18498,http://image.tmdb.org/t/p/w780/ufqPsRItWyFzdFz3MevDkxRF8pT.jpg
228,Weekend at Bernie's,Ted Kotcheff,"Andrew McCarthy,Jonathan Silverman,Catherine Mary Stewart,Terry Kiser,Don Calfa,Catherine Parks,Eloise DeJoria",,http://image.tmdb.org/t/p/w185/h3hjMREZEUPtDkZBiYDzLq0THk0.jpg,2.8,6111.0,"Two friends are invited for a weekend to a luxury island with their boss. The boss gets shot and nobody seems to notice, except for the two friends. In order not to become suspects of murder they treat the body as a puppet and make people believe he's still alive. The killer wants to do his job so when he is informed that the stiff is still alive he's got to shoot him again, and again, and again.",Comedy,http://106.12.12.171/wpNYINvEazUkTAnhpF6BjMpcrSr.jpg,1091,Weekend at Bernie's (1989),Comedy,1989-07-05,5749,http://image.tmdb.org/t/p/w780/wpNYINvEazUkTAnhpF6BjMpcrSr.jpg
229,Basic Instinct,Paul Verhoeven,"Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,Denis Arndt,Leilani Sarelle,Bruce A. Young,Chelcie Ross,Dorothy Malone,Wayne Knight,Daniel von Bargen,Stephen Tobolowsky,Benjamin Mouton,Jack McGee,Bill Cable,Stephen Rowe,Mitch Pileggi,Mary Pat Gleason,Freda Foh Shen,William Duff-Griffin,James Rebhorn,David Wells,Mary Ann Rodgers,Adilah Barnes,Irene Olga López,Juanita Jennings,Craig C. Lewis,Michael David Lally,Peter Appel,Michael Halton,Keith McDaniel,Eric Poppick,Ron Cacas,Kayla Blake,Bradford English,Ashlyn Gere",,http://image.tmdb.org/t/p/w185/p1DHOfLFZmM567ePKfFNMV4mY92.jpg,3.4,13073.0,"A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.","Thriller,Mystery",http://106.12.12.171/bKdxJMqvr4wltzAQaieA6CTkaa9.jpg,1092,Basic Instinct (1992),Crime|Mystery|Thriller,1992-03-20,12585,http://image.tmdb.org/t/p/w780/bKdxJMqvr4wltzAQaieA6CTkaa9.jpg
230,Glengarry Glen Ross,James Foley,"Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin,Ed Harris,Kevin Spacey,Jonathan Pryce,Bruce Altman,Jude Ciccolella,Paul Butler,Lori Tan Chinn,Neal Jones,Leigh French,George Cheung,Murphy Dunne,Dana Lee,Gregory Snegoff,Skipp Lynch,Julie Payne",,http://image.tmdb.org/t/p/w185/4YgCTLcHEIeGyzrKpwz93rORb8l.jpg,3.9,6920.0,"Glengarry Glen Ross, follows the lives of four unethical Chicago real estate agents who are prepared to go to any lengths (legal or illegal) to unload undesirable real estate on unwilling prospective buyers.","Crime,Drama,Mystery",http://106.12.12.171/mItbTjXFv5scWZ7zJpLh64uUZ6G.jpg,1095,Glengarry Glen Ross (1992),Drama,1992-09-15,6850,http://image.tmdb.org/t/p/w780/mItbTjXFv5scWZ7zJpLh64uUZ6G.jpg
231,Sophie's Choice,Alan J. Pakula,"Meryl Streep,Kevin Kline,Peter MacNicol,Rita Karin,Stephen D. Newman,Greta Turken,Josh Mostel,Marcell Rosenblatt,Moishe Rosenfeld,Robin Bartlett,Eugene Lipinski,John Rothman,Joseph Leon,David Wohl,Nina Polan",,http://image.tmdb.org/t/p/w185/7kBisRhUVzL09qSdNFeg33XbL1N.jpg,3.9,4117.0,"Stingo, a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie and her lover Nathan, he learns that she is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent.","Drama,Romance",http://106.12.12.171/7wL6ZXSwP4E84WDykQ6VksI4PxH.jpg,1096,Sophie's Choice (1982),Drama,1982-12-08,3973,http://image.tmdb.org/t/p/w780/7wL6ZXSwP4E84WDykQ6VksI4PxH.jpg
232,E.T. the Extra-Terrestrial,Steven Spielberg,"Henry Thomas,Drew Barrymore,Robert MacNaughton,Dee Wallace,Peter Coyote,Erika Eleniak,Sean Frye,C. Thomas Howell,K. C. Martel,David M. O'Dell,Richard Swingler,Frank Toth,Pat Welsh",,http://image.tmdb.org/t/p/w185/8htLKK03TJjKZOXJgihZCu8v0P.jpg,3.7,39840.0,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.","Science Fiction,Adventure,Family,Fantasy",http://106.12.12.171/mXLVA0YL6tcXi6SJSuAh9ONXFj5.jpg,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,1982-04-03,38006,http://image.tmdb.org/t/p/w780/mXLVA0YL6tcXi6SJSuAh9ONXFj5.jpg
233,Days of Thunder,Tony Scott,"Tom Cruise,Robert Duvall,Nicole Kidman,Randy Quaid,Cary Elwes,Fred Dalton Thompson,John C. Reilly,J.C. Quinn,Don Simpson,Michael Rooker,Caroline Williams,Margo Martindale",,http://image.tmdb.org/t/p/w185/jNw4mKvTW3lSDOv9Ruiph6EQqXj.jpg,2.9,6306.0,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",Adventure,http://106.12.12.171/bE2MZM5QAKbcwSzcmlxvRzHJ4tj.jpg,1100,Days of Thunder (1990),Action|Drama|Romance,1990-06-27,5979,http://image.tmdb.org/t/p/w780/bE2MZM5QAKbcwSzcmlxvRzHJ4tj.jpg
234,Top Gun,Tony Scott,"Tom Cruise,Kelly McGillis,Val Kilmer,Anthony Edwards,Tom Skerritt,Michael Ironside,John Stockwell,Barry Tubb,Rick Rossovich,Tim Robbins,Meg Ryan,Whip Hubley,Adrian Pasdar,James Tolkan,Clarence Gilyard Jr.",,http://image.tmdb.org/t/p/w185/orGXnBKfT41LxZhitLkXhqUfJJW.jpg,3.4,23219.0,"For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.","Action,Romance,War",http://106.12.12.171/9GyBSsMiGkPSk4OESIYZuedijBI.jpg,1101,Top Gun (1986),Action|Romance,1986-05-16,22947,http://image.tmdb.org/t/p/w780/9GyBSsMiGkPSk4OESIYZuedijBI.jpg
235,Rebel Without a Cause,Nicholas Ray,"James Dean,Natalie Wood,Sal Mineo,Ann Doran,Jim Backus,Corey Allen,William Hopper,Rochelle Hudson,Dennis Hopper,Edward Platt,Steffi Sidney,Virginia Brissac,Beverly Long,Ian Wolfe,Frank Mazzola,Robert Foulk,Jack Simmons,Nick Adams,Jack Grinnage,Clifford Morris,Marietta Canty,Almira Sessions,Paul Birch,Dorothy Abbott,Jimmy Baird,Paul Bryar,John Close,Chuck Hamilton,Chuck Hicks,Nelson Leigh,David McMahon,Edward McNally,Peter Miller,Faye Michael Nuell,House Peters Jr.,Nicholas Ray,Gus Schilling,Bert Stevens,Dick Wessel,Robert Williams,Ralph Moratz",,http://image.tmdb.org/t/p/w185/bEAoNvtqvO0c2lItNkKlKUqhPuw.jpg,3.8,7162.0,"After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin.",Drama,http://106.12.12.171/aFrfCpEwyyAhIbooDANgWiFzV9R.jpg,1103,Rebel Without a Cause (1955),Drama,1955-10-27,6733,http://image.tmdb.org/t/p/w780/aFrfCpEwyyAhIbooDANgWiFzV9R.jpg
236,On Golden Pond,Mark Rydell,"Katharine Hepburn,Henry Fonda,Jane Fonda,Doug McKeon,Dabney Coleman",,http://image.tmdb.org/t/p/w185/6eurFv9VjqJ35PyIc2H35C0Fyca.jpg,3.7,5061.0,"For Norman and Ethel Thayer, this summer on golden pond is filled with conflict and resolution. When their daughter Chelsea arrives, the family is forced to renew the bonds of love and overcome the generational friction that has existed for years. Norman must find his way through his anger and fear of growing old, while Chelsea struggles to rebuild their relationship. Ethel's consistent support of her ""Knight in shining armor"" is inspirational in its simplicity. This is a movie to ponder and always keep in your heart.",Drama,http://106.12.12.171/5iU8AVqS4vAD8YPdofPm3ZXYPMr.jpg,1124,On Golden Pond (1981),Drama,1981-12-04,4880,http://image.tmdb.org/t/p/w780/5iU8AVqS4vAD8YPdofPm3ZXYPMr.jpg
237,Escape from New York,John Carpenter,"Kurt Russell,Lee Van Cleef,Ernest Borgnine,Donald Pleasence,Isaac Hayes,Harry Dean Stanton,Adrienne Barbeau,Tom Atkins,Frank Doubleday,John Strobel,Season Hubley,Charles Cyphers,John Cothran, Jr.,George Buck Flower",,http://image.tmdb.org/t/p/w185/z1KTbKJh7vSTTXllxxE4DWG63rT.jpg,3.4,10560.0,"In 1997, the island of Manhattan has been walled off and turned into a giant maximum security prison within which the country's worst criminals are left to form their own anarchic society. However, when the President of the United States crash lands on the island, the authorities turn to a former soldier and current convict, Snake Plissken, to rescue him.","Science Fiction,Action",http://106.12.12.171/iSi3OJKSPNknaxSvjpOa6c38Xgn.jpg,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,1981-05-22,10359,http://image.tmdb.org/t/p/w780/iSi3OJKSPNknaxSvjpOa6c38Xgn.jpg
238,Private Benjamin,Howard Zieff,"Goldie Hawn,Eileen Brennan,Armand Assante,Robert Webber,Mary Kay Place,Harry Dean Stanton,Albert Brooks,Kopi Sotiropulos",,http://image.tmdb.org/t/p/w185/prlM1orr542htKHpWEqCOngYLn6.jpg,3.1,4268.0,A sheltered young high society woman joins the army on a whim and finds herself in a more difficult situation than she ever expected.,Comedy,http://106.12.12.171/h3WKBJ14XZBJJFiEsBpvRdKPFPo.jpg,1135,Private Benjamin (1980),Comedy,1980-10-06,4151,http://image.tmdb.org/t/p/w780/h3WKBJ14XZBJJFiEsBpvRdKPFPo.jpg
239,Monty Python and the Holy Grail,"Terry Gilliam,Terry Jones","Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Connie Booth,Carol Cleveland,Neil Innes,Bee Duffell,John Young,Rita Davies,Avril Stewart,Sally Kinghorn,Mark Zycon,Sandy Johnson,Julian Doyle,Joni Flynn,Fiona Gordon",,http://image.tmdb.org/t/p/w185/jRx1nDUA4sb2NEKQaukXKBz6pCf.jpg,4.2,40131.0,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","Adventure,Comedy,Fantasy",http://106.12.12.171/6fqmcCVci3cSBCgJw8NGXE4ST8G.jpg,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,1975-03-13,40282,http://image.tmdb.org/t/p/w780/6fqmcCVci3cSBCgJw8NGXE4ST8G.jpg
240,When We Were Kings,Leon Gast,"Muhammad Ali,George Foreman,Don King,James Brown,B.B. King,Spike Lee,Mobutu Sese Seko,Norman Mailer,George Plimpton,Thomas Hauser,Malick Bowens,Lloyd Price,The Spinners,Miriam Makeba,Drew Bundini Brown,Odessa Clay,Howard Cosell,Wilton Felder,Wayne Henderson,Stix Hooper,Stewart Levine,Alan Pariser,Danny 'Big Black' Rey,Dick Sadler,Joe Sample,Philippé Wynne,Lolita,Archie Moore",,http://image.tmdb.org/t/p/w185/wAw3KIEuQGIwhCBWtvWFQRItz0d.jpg,4.1,4043.0,"It's 1974. Muhammad Ali is 32 and thought by many to be past his prime. George Foreman is ten years younger and the heavyweight champion of the world. Promoter Don King wants to make a name for himself and offers both fighters five million dollars apiece to fight one another, and when they accept, King has only to come up with the money. He finds a willing backer in Mobutu Sese Suko, the dictator of Zaire, and the ""Rumble in the Jungle"" is set, including a musical festival featuring some of America's top black performers, like James Brown and B.B. King.",Documentary,http://106.12.12.171/f6SSam3qrMz5y8Yrc0SqvWCpsQY.jpg,1147,When We Were Kings (1996),Documentary,1996-10-25,4002,http://image.tmdb.org/t/p/w780/f6SSam3qrMz5y8Yrc0SqvWCpsQY.jpg
241,Delicatessen,"Jean-Pierre Jeunet,Marc Caro","Dominique Pinon,Marie-Laure Dougnac,Jean-Claude Dreyfus,Karin Viard,Ticky Holgado,Pascal Benezech,Edith Ker,Rufus,Jacques Mathou,Chick Ortega,Jean-François Perrier,Silvie Laguna,Howard Vernon,Dominique Zardi",,http://image.tmdb.org/t/p/w185/nD4v80ggEmqXFZtaLDSHA2vxZoR.jpg,4.0,8291.0,This bizarre surrealistic black comedy takes place in a small fictitious post-apocalyptic town where food is scarce and butcher Clapet has the macabre business of using human flesh to feed his customers. Yet when his daughter falls in love with his next slaughter victim things turn into chaos.,"Comedy,Science Fiction,Fantasy",http://106.12.12.171/uaybyb5PuxIHrEhUAEnS4z4tK6H.jpg,1175,Delicatessen (1991),Comedy|Drama|Romance,1991-04-17,8133,http://image.tmdb.org/t/p/w780/uaybyb5PuxIHrEhUAEnS4z4tK6H.jpg
242,Paths of Glory,Stanley Kubrick,"Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,Wayne Morris,Richard Anderson,Joe Turkel,Timothy Carey,Christiane Kubrick,Jerry Hausner,Peter Capell,Emile Meyer,Bert Freed,Kem Dibbs,Fred Bell,John Stein,Harold Benedict,Paul Bös,James B. Harris",,http://image.tmdb.org/t/p/w185/f3DEXseCs3WBtvCv9pVPCtoluuG.jpg,4.2,4416.0,"During World War I, commanding officer General Broulard orders his subordinate, General Mireau, to attack a German trench position, offering a promotion as an incentive. Though the mission is foolhardy to the point of suicide, Mireau commands his own subordinate, Colonel Dax, to plan the attack. When it ends in disaster, General Mireau demands the court-martial of three random soldiers in order to save face.","Drama,War",http://106.12.12.171/vSDl3hqsxxNaj0tE5ZLsTQeL0dS.jpg,1178,Paths of Glory (1957),Drama|War,1957-09-18,4476,http://image.tmdb.org/t/p/w780/vSDl3hqsxxNaj0tE5ZLsTQeL0dS.jpg
243,"Sex, Lies, and Videotape",Steven Soderbergh,"Andie MacDowell,Peter Gallagher,James Spader,Laura San Giacomo,Ron Vawter,Steven Brill,Alexandra Root,Earl T. Taylor,David Foil",,http://image.tmdb.org/t/p/w185/kOXATYKziiKmoMxgKA10JOO13JZ.jpg,3.5,8616.0,A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.,Drama,http://106.12.12.171/esCRA7XoKR95PmbzmcbrfhcXQNN.jpg,1186,"Sex, Lies, and Videotape (1989)",Drama,1989-08-18,7796,http://image.tmdb.org/t/p/w780/esCRA7XoKR95PmbzmcbrfhcXQNN.jpg
244,Strictly Ballroom,Baz Luhrmann,"Paul Mercurio,Tara Morice,Bill Hunter,Barry Otto,Pat Thomson,Gia Carides,Kris McQuade,Peter Whitford,John Hannan,Kerry Shrimpton,Sonia Kruger,Todd McKenney,Pip Mushin,Steve Grace",,http://image.tmdb.org/t/p/w185/ulA2RUGNvrwxbLDVUwxyB2eBl6P.jpg,3.8,8661.0,"Brave new steps put Scott's career in jeopardy. With a new partner and determination, can he still succeed?","Comedy,Drama,Romance",http://106.12.12.171/faB9N2gQlb2qSbCL00FJ3BNigbW.jpg,1188,Strictly Ballroom (1992),Comedy|Romance,1992-08-20,8183,http://image.tmdb.org/t/p/w780/faB9N2gQlb2qSbCL00FJ3BNigbW.jpg
245,Brazil,Terry Gilliam,"Jonathan Pryce,Robert De Niro,Katherine Helmond,Ian Holm,Bob Hoskins,Michael Palin,Ian Richardson,Terry Gilliam,Peter Vaughan,Kim Greist,Jim Broadbent,Derrick O'Connor,Roger Ashton-Griffiths,John Pierce Jones,Barbara Hicks,Charles McKeown,Kathryn Pogson,Bryan Pringle,Nigel Planer,Terence Bayler,Gorden Kaye,Jack Purvis,Howard Lew Lewis",,http://image.tmdb.org/t/p/w185/55Vfc1beLn3pJF4Lw83TRKHenK6.jpg,4.0,16779.0,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.","Comedy,Science Fiction",http://106.12.12.171/pVlZBKp8v3Jzd0ahPmrBGlbeQ2s.jpg,1199,Brazil (1985),Fantasy|Sci-Fi,1985-02-20,16829,http://image.tmdb.org/t/p/w780/pVlZBKp8v3Jzd0ahPmrBGlbeQ2s.jpg
246,Aliens,James Cameron,"Sigourney Weaver,Michael Biehn,Paul Reiser,Lance Henriksen,Carrie Henn,Bill Paxton,William Hope,Jenette Goldstein,Al Matthews,Mark Rolston,Ricco Ross,Colette Hiller,Daniel Kash,Cynthia Dale Scott,Tip Tipping,Trevor Steedman,Paul Maxwell,Carl Toop,Valerie Colgan,Alan Polonsky,Alibe Parsons,Blain Fairman,Barbara Coles,Eddie Powell,James Remar,Jay Benedict",,http://image.tmdb.org/t/p/w185/nORMXEkYEbzkU5WkMWMgRDJwjSZ.jpg,4.0,33908.0,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.","Horror,Action,Thriller,Science Fiction",http://106.12.12.171/r2zB2vGLDQVxlRZISH7KzQ6reiC.jpg,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi,1986-07-18,33923,http://image.tmdb.org/t/p/w780/r2zB2vGLDQVxlRZISH7KzQ6reiC.jpg
247,12 Angry Men,Sidney Lumet,"Henry Fonda,Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman,Edward Binns,Jack Warden,Joseph Sweeney,Ed Begley,George Voskovec,Robert Webber,Rudy Bond,James Kelly,Billy Nelson,John Savoca,Walter Stocker",,http://image.tmdb.org/t/p/w185/3W0v956XxSG5xgm7LB6qu8ExYJ2.jpg,4.2,17505.0,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",Drama,http://106.12.12.171/lH2Ga8OzjU1XlxJ73shOlPx6cRw.jpg,1203,12 Angry Men (1957),Drama,1957-03-25,17433,http://image.tmdb.org/t/p/w780/lH2Ga8OzjU1XlxJ73shOlPx6cRw.jpg
248,Lawrence of Arabia,David Lean,"Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,Omar Sharif,Claude Rains,Anthony Quayle,José Ferrer,Arthur Kennedy,Donald Wolfit,Zia Mohyeddin,I.S. Johar,Gamil Ratib,Michel Ray,John Dimech,Howard Marion-Crawford,Jack Gwillim,Hugh Miller,Robert Rietty,John Barry,Bruce Beeby,John Bennett,Steve Birtles,David Lean,Robert Bolt,Daniel Moynihan,Peter Burton,James Hayter,Barry Warren,J.R.M. Chapman,Basil Dignam,Peter Dukelow,Bryan Pringle,Mohamed El Habachi,Kenneth Fortescue,Harry Fowler,Jack Hedley,Fernando Sancho,Noel Howlett,Patrick Kavanagh,Ian MacNaughton,Clive Morton,Henry Oscar,George Plimpton,Ernie Rice,John Robinson,Norman Rossington,John Ruddock,Stuart Saunders,Cyril Shaps,Roy Stevens,Rafael Hernández,Fred Bennett",,http://image.tmdb.org/t/p/w185/j21UXCOq0EbV8EPTtmPn1CGePfB.jpg,4.1,15236.0,"An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.","Adventure,Drama,History,War",http://106.12.12.171/lENerYvUcfl9GlolqA1emj5gb4k.jpg,1204,Lawrence of Arabia (1962),Adventure|Drama|War,1962-12-10,14718,http://image.tmdb.org/t/p/w780/lENerYvUcfl9GlolqA1emj5gb4k.jpg
249,To Kill a Mockingbird,Robert Mulligan,"Gregory Peck,Brock Peters,James Anderson,Mary Badham,Phillip Alford,John Megna,Estelle Evans,Collin Wilcox Paxton,Frank Overton,Rosemary Murphy,Ruth White,Robert Duvall,Paul Fix,Alice Ghostley,William Windom,Crahan Denton,Richard Hale,R.L. Armstrong,Eddie Baker,Bobby Barber,Danny Borzage,John Breen,Jess Cavin,Steve Condit,David Crawford,Frank Ellis,Charles Fredericks,Herman Hack,Jester Hairston,Chuck Hamilton,Kim Hamilton,Michael Jeffers,Dick Johnstone,Colin Kenny,Ethan Laidlaw,Nancy Marshall,Charles Morton,Paulene Myers,William H. O'Brien,Joe Ploski,Hugh Sanders,Mabel Smaney,Cap Somers,George Sowards,Ray Spiker,Kim Stanley,Kelly Thordsen,Arthur Tovey,Sailor Vincent,Max Wagner,Bill Walker,Joe Walls,Dan White,Guy Wilkerson,Chalky Williams,Audrey Betz",,http://image.tmdb.org/t/p/w185/2lgU2AmCcLDTIyXIjjFgAxjdtBH.jpg,4.2,17737.0,"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping.","Crime,Drama",http://106.12.12.171/eb8EqwtFWVoujlbU8CmaEYc1qE5.jpg,1207,To Kill a Mockingbird (1962),Drama,1962-12-25,17601,http://image.tmdb.org/t/p/w780/eb8EqwtFWVoujlbU8CmaEYc1qE5.jpg
250,Apocalypse Now,Francis Ford Coppola,"Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Sam Bottoms,Laurence Fishburne,Albert Hall,Harrison Ford,Dennis Hopper,G. D. Spradlin,Jerry Ziesmer,Scott Glenn,James Keane,Kerry Rossall,Colleen Camp,Cynthia Wood,Linda Carpenter,Jack Thibeau,Tom Mason,Damien Leake,Marc Coppola,Glenn Walken,Bill Graham,Jerry Ross,Charles Robinson,Nick Nicholson,Don Gordon Bell,Evan A. Lottman,R. Lee Ermey,Jim Gaines,Charlie Sheen,Vittorio Storaro,Francis Ford Coppola,Henry Strzalkowski,Lonnie Woodley,Aurore Clément",,http://image.tmdb.org/t/p/w185/jcvJ2xcVWU9Wh0hZAxcs103s8nN.jpg,4.1,28475.0,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","Drama,War",http://106.12.12.171/k91Dag8AZbhjIJqrtf7F1bQnGPg.jpg,1208,Apocalypse Now (1979),Action|Drama|War,1979-08-15,28361,http://image.tmdb.org/t/p/w780/k91Dag8AZbhjIJqrtf7F1bQnGPg.jpg
251,Alien,Ridley Scott,"Tom Skerritt,Sigourney Weaver,Veronica Cartwright,Harry Dean Stanton,John Hurt,Ian Holm,Yaphet Kotto,Bolaji Badejo,Helen Horton,Eddie Powell",,http://image.tmdb.org/t/p/w185/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg,4.0,38483.0,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","Horror,Action,Thriller,Science Fiction",http://106.12.12.171/si4PH5RjbpdQZi3BQvV6eiBNjYD.jpg,1214,Alien (1979),Horror|Sci-Fi,1979-05-25,38766,http://image.tmdb.org/t/p/w780/si4PH5RjbpdQZi3BQvV6eiBNjYD.jpg
252,Army of Darkness,Sam Raimi,"Bruce Campbell,Embeth Davidtz,Marcus Gilbert,Ian Abercrombie,Richard Grove,Timothy Patrick Quill,Michael Earl Reid,Bridget Fonda,Patricia Tallman,Ted Raimi,Deke Anderson",,http://image.tmdb.org/t/p/w185/2eZKDIwLNnySbwqQtAaUz0kYDIL.jpg,3.7,14328.0,"A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home.","Fantasy,Horror,Comedy",http://106.12.12.171/iPBohQuaB2gJEgap3jhdfiaQ7Jm.jpg,1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,1992-10-09,14058,http://image.tmdb.org/t/p/w780/iPBohQuaB2gJEgap3jhdfiaQ7Jm.jpg
253,Ran,Akira Kurosawa,"Akira Terao,Jinpachi Nezu,Daisuke Ryû,Tatsuya Nakadai,Mieko Harada,Yoshiko Miyazaki,Hisashi Igawa,Pîtâ,Masayuki Yui,Kazuo Katô,Norio Matsui,Toshiya Ito,Kenji Kodama,Mansai Nomura,Takeshi Katô,Jun Tazaki,Hitoshi Ueki,Tokie Kanda,Sawako Kochi,Reiko Nanjo,Kumeko Otowa,Heihachiro Suzuki,Susumu Terajima,Haruko Tôgô",,http://image.tmdb.org/t/p/w185/dwYUbrcQAyshW22yoUTzWwwC67b.jpg,4.1,5634.0,"Set in Japan in the 16th century (or so), an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them, or cause them to turn on each other...and him...","Action,Drama,History",http://106.12.12.171/3QWR9tyxLtCz7xANh7nyIxYPISp.jpg,1217,Ran (1985),Drama|War,1985-06-01,5622,http://image.tmdb.org/t/p/w780/3QWR9tyxLtCz7xANh7nyIxYPISp.jpg
